N,Pop_Prob,Off_Prob,Tournament_Size,Value,Run_Gens
1000,1.55,1.775,14,"(1000, -3637)",21
1000,1.1,2.0,2,"(1000, -3639)",35
1000,1.55,2.0,2,"(1000, -3640)",27
1000,1.1,2.0,8,"(1000, -3642)",21
1000,1.775,1.1,14,"(1000, -3648)",19
1000,1.3250000000000002,1.1,5,"(1000, -3649)",24
1000,1.55,1.55,14,"(1000, -3651)",18
1000,2.0,1.55,5,"(1000, -3652)",25
1000,1.3250000000000002,1.775,5,"(1000, -3653)",23
1000,1.775,1.1,11,"(1000, -3655)",19
1000,1.775,1.3250000000000002,2,"(1000, -3657)",54
1000,1.55,1.55,8,"(1000, -3660)",23
1000,1.3250000000000002,1.775,8,"(1000, -3661)",17
1000,1.775,2.0,14,"(1000, -3661)",20
1000,1.3250000000000002,2.0,11,"(1000, -3664)",19
1000,1.3250000000000002,1.3250000000000002,11,"(1000, -3664)",22
1000,1.3250000000000002,1.55,11,"(1000, -3664)",22
1000,1.3250000000000002,1.775,14,"(1000, -3668)",18
1000,2.0,1.55,11,"(1000, -3668)",23
1000,2.0,1.775,14,"(1000, -3670)",20
1000,1.775,1.1,2,"(1000, -3673)",41
1000,2.0,1.1,2,"(1000, -3673)",43
1000,1.1,1.775,14,"(1000, -3674)",17
1000,1.3250000000000002,1.775,11,"(1000, -3676)",24
1000,1.3250000000000002,1.3250000000000002,14,"(1000, -3679)",20
1000,2.0,2.0,14,"(1000, -3680)",19
1000,1.1,1.55,8,"(1000, -3681)",22
1000,1.1,2.0,5,"(1000, -3682)",24
1000,1.775,1.775,2,"(1000, -3682)",40
1000,2.0,1.55,2,"(1000, -3683)",40
1000,2.0,1.775,5,"(1000, -3684)",23
1000,1.1,1.775,5,"(1000, -3684)",28
1000,1.55,1.775,5,"(1000, -3689)",21
1000,1.3250000000000002,1.55,14,"(1000, -3689)",22
1000,1.55,1.1,2,"(1000, -3689)",36
1000,2.0,1.775,11,"(1000, -3690)",20
1000,1.775,1.55,14,"(1000, -3690)",22
1000,1.55,2.0,11,"(1000, -3691)",19
1000,1.775,1.3250000000000002,5,"(1000, -3695)",31
1000,1.3250000000000002,1.3250000000000002,2,"(1000, -3697)",34
1000,1.55,1.775,11,"(1000, -3703)",20
1000,1.775,1.1,5,"(1000, -3707)",29
1000,1.775,1.3250000000000002,8,"(1000, -3708)",24
1000,2.0,1.1,11,"(1000, -3712)",23
1000,2.0,2.0,8,"(1000, -3712)",26
1000,1.3250000000000002,1.1,8,"(1000, -3716)",24
1000,1.3250000000000002,1.1,2,"(1000, -3716)",42
1000,2.0,1.55,14,"(1000, -3718)",20
1000,1.3250000000000002,2.0,5,"(1000, -3719)",25
1000,1.1,2.0,14,"(1000, -3720)",20
1000,1.1,2.0,11,"(1000, -3725)",20
1000,1.55,1.55,11,"(1000, -3727)",20
1000,1.3250000000000002,1.1,14,"(1000, -3728)",21
1000,1.775,1.55,11,"(1000, -3730)",23
1000,2.0,1.3250000000000002,11,"(1000, -3733)",23
1000,1.1,1.3250000000000002,11,"(1000, -3743)",20
1000,1.3250000000000002,1.55,5,"(1000, -3747)",31
1000,1.1,1.55,14,"(1000, -3749)",19
1000,1.775,1.775,14,"(1000, -3749)",19
1000,1.55,1.3250000000000002,11,"(1000, -3749)",22
1000,2.0,1.775,8,"(1000, -3759)",23
1000,1.55,1.3250000000000002,5,"(1000, -3760)",25
1000,1.3250000000000002,1.3250000000000002,5,"(1000, -3764)",31
1000,1.775,1.775,5,"(1000, -3769)",22
1000,2.0,1.1,8,"(1000, -3771)",28
1000,1.775,2.0,2,"(1000, -3772)",24
1000,2.0,1.3250000000000002,2,"(1000, -3773)",38
1000,1.55,1.775,8,"(1000, -3774)",18
1000,2.0,1.1,14,"(1000, -3774)",18
1000,1.1,1.3250000000000002,2,"(1000, -3780)",36
1000,1.55,1.1,5,"(1000, -3783)",24
1000,1.1,1.1,2,"(1000, -3783)",54
1000,2.0,1.55,8,"(1000, -3788)",21
1000,1.775,1.55,8,"(1000, -3796)",22
1000,2.0,2.0,11,"(1000, -3801)",19
1000,1.3250000000000002,2.0,2,"(1000, -3809)",23
1000,1.1,1.3250000000000002,8,"(1000, -3809)",26
1000,1.1,1.1,5,"(1000, -3811)",23
1000,1.1,1.55,5,"(1000, -3816)",30
1000,1.1,1.3250000000000002,5,"(1000, -3835)",23
1000,1.1,1.775,2,"(1000, -3835)",28
1000,1.55,1.3250000000000002,2,"(1000, -3837)",31
1000,1.3250000000000002,1.775,2,"(1000, -3837)",34
1000,1.3250000000000002,2.0,8,"(1000, -3848)",18
1000,1.775,1.55,2,"(1000, -3854)",75
